"","x"
"1",0
"2",0.0050251256281407
"3",0.0100502512562814
"4",0.0150753768844221
"5",0.0201005025125628
"6",0.0251256281407035
"7",0.0301507537688442
"8",0.0351758793969849
"9",0.0402010050251256
"10",0.0452261306532663
"11",0.050251256281407
"12",0.0552763819095477
"13",0.0603015075376884
"14",0.0653266331658292
"15",0.0703517587939698
"16",0.0753768844221106
"17",0.0804020100502513
"18",0.085427135678392
"19",0.0904522613065327
"20",0.0954773869346734
"21",0.100502512562814
"22",0.105527638190955
"23",0.110552763819095
"24",0.115577889447236
"25",0.120603015075377
"26",0.125628140703518
"27",0.130653266331658
"28",0.135678391959799
"29",0.14070351758794
"30",0.14572864321608
"31",0.150753768844221
"32",0.155778894472362
"33",0.160804020100503
"34",0.165829145728643
"35",0.170854271356784
"36",0.175879396984925
"37",0.180904522613065
"38",0.185929648241206
"39",0.190954773869347
"40",0.195979899497487
"41",0.201005025125628
"42",0.206030150753769
"43",0.21105527638191
"44",0.21608040201005
"45",0.221105527638191
"46",0.226130653266332
"47",0.231155778894472
"48",0.236180904522613
"49",0.241206030150754
"50",0.246231155778894
"51",0.251256281407035
"52",0.256281407035176
"53",0.261306532663317
"54",0.266331658291457
"55",0.271356783919598
"56",0.276381909547739
"57",0.281407035175879
"58",0.28643216080402
"59",0.291457286432161
"60",0.296482412060302
"61",0.301507537688442
"62",0.306532663316583
"63",0.311557788944724
"64",0.316582914572864
"65",0.321608040201005
"66",0.326633165829146
"67",0.331658291457286
"68",0.336683417085427
"69",0.341708542713568
"70",0.346733668341709
"71",0.351758793969849
"72",0.35678391959799
"73",0.361809045226131
"74",0.366834170854271
"75",0.371859296482412
"76",0.376884422110553
"77",0.381909547738693
"78",0.386934673366834
"79",0.391959798994975
"80",0.396984924623116
"81",0.402010050251256
"82",0.407035175879397
"83",0.412060301507538
"84",0.417085427135678
"85",0.422110552763819
"86",0.42713567839196
"87",0.4321608040201
"88",0.437185929648241
"89",0.442211055276382
"90",0.447236180904523
"91",0.452261306532663
"92",0.457286432160804
"93",0.462311557788945
"94",0.467336683417085
"95",0.472361809045226
"96",0.477386934673367
"97",0.482412060301508
"98",0.487437185929648
"99",0.492462311557789
"100",0.49748743718593
"101",0.50251256281407
"102",0.507537688442211
"103",0.512562814070352
"104",0.517587939698492
"105",0.522613065326633
"106",0.527638190954774
"107",0.532663316582915
"108",0.537688442211055
"109",0.542713567839196
"110",0.547738693467337
"111",0.552763819095477
"112",0.557788944723618
"113",0.562814070351759
"114",0.5678391959799
"115",0.57286432160804
"116",0.577889447236181
"117",0.582914572864322
"118",0.587939698492462
"119",0.592964824120603
"120",0.597989949748744
"121",0.603015075376884
"122",0.608040201005025
"123",0.613065326633166
"124",0.618090452261307
"125",0.623115577889447
"126",0.628140703517588
"127",0.633165829145729
"128",0.638190954773869
"129",0.64321608040201
"130",0.648241206030151
"131",0.653266331658292
"132",0.658291457286432
"133",0.663316582914573
"134",0.668341708542714
"135",0.673366834170854
"136",0.678391959798995
"137",0.683417085427136
"138",0.688442211055276
"139",0.693467336683417
"140",0.698492462311558
"141",0.703517587939699
"142",0.708542713567839
"143",0.71356783919598
"144",0.718592964824121
"145",0.723618090452261
"146",0.728643216080402
"147",0.733668341708543
"148",0.738693467336683
"149",0.743718592964824
"150",0.748743718592965
"151",0.753768844221106
"152",0.758793969849246
"153",0.763819095477387
"154",0.768844221105528
"155",0.773869346733668
"156",0.778894472361809
"157",0.78391959798995
"158",0.78894472361809
"159",0.793969849246231
"160",0.798994974874372
"161",0.804020100502513
"162",0.809045226130653
"163",0.814070351758794
"164",0.819095477386935
"165",0.824120603015075
"166",0.829145728643216
"167",0.834170854271357
"168",0.839195979899497
"169",0.844221105527638
"170",0.849246231155779
"171",0.85427135678392
"172",0.85929648241206
"173",0.864321608040201
"174",0.869346733668342
"175",0.874371859296482
"176",0.879396984924623
"177",0.884422110552764
"178",0.889447236180904
"179",0.894472361809045
"180",0.899497487437186
"181",0.904522613065327
"182",0.909547738693467
"183",0.914572864321608
"184",0.919597989949749
"185",0.924623115577889
"186",0.92964824120603
"187",0.934673366834171
"188",0.939698492462312
"189",0.944723618090452
"190",0.949748743718593
"191",0.954773869346734
"192",0.959798994974874
"193",0.964824120603015
"194",0.969849246231156
"195",0.974874371859296
"196",0.979899497487437
"197",0.984924623115578
"198",0.989949748743719
"199",0.994974874371859
"200",1
