"","x","mean","lower","upper"
"gp0.p[, 1]1",0,0.494731351842292,0.491569641160819,0.497893062523764
"gp0.p[, 1]2",0.0050251256281407,0.490364808415035,0.472314915530996,0.508414701299075
"gp0.p[, 1]3",0.0100502512562814,0.483579843642035,0.448457367652814,0.518702319631255
"gp0.p[, 1]4",0.0150753768844221,0.474548225417039,0.423217536654961,0.525878914179116
"gp0.p[, 1]5",0.0201005025125628,0.463506620918454,0.397168383842058,0.52984485799485
"gp0.p[, 1]6",0.0251256281407035,0.450713844342112,0.370749532915224,0.530678155769
"gp0.p[, 1]7",0.0301507537688442,0.436423389327548,0.344307366886269,0.528539411768828
"gp0.p[, 1]8",0.0351758793969849,0.420867002608695,0.318105123165781,0.523628882051608
"gp0.p[, 1]9",0.0402010050251256,0.404246148936238,0.292333367236346,0.516158930636131
"gp0.p[, 1]10",0.0452261306532663,0.38672905320645,0.267122304156351,0.50633580225655
"gp0.p[, 1]11",0.050251256281407,0.368451641537429,0.242555117231847,0.494348165843012
"gp0.p[, 1]12",0.0552763819095477,0.34952118349025,0.218681539014652,0.480360827965848
"gp0.p[, 1]13",0.0603015075376884,0.330021797246849,0.195531121377933,0.464512473115766
"gp0.p[, 1]14",0.0653266331658292,0.310021244630007,0.173125895626722,0.446916593633293
"gp0.p[, 1]15",0.0703517587939698,0.289578633029891,0.151492263411031,0.427665002648752
"gp0.p[, 1]16",0.0753768844221106,0.268752770742186,0.130672040208724,0.406833501275647
"gp0.p[, 1]17",0.0804020100502513,0.247611000430614,0.110732596076172,0.384489404785056
"gp0.p[, 1]18",0.085427135678392,0.226238367816422,0.0917760112703818,0.360700724362462
"gp0.p[, 1]19",0.0904522613065327,0.204746970901613,0.0739470911362272,0.335546850666998
"gp0.p[, 1]20",0.0954773869346734,0.183285276974225,0.0574399651316338,0.309130588816817
"gp0.p[, 1]21",0.100502512562814,0.162047084376537,0.0425028249655892,0.281591343787486
"gp0.p[, 1]22",0.105527638190955,0.141279633324312,0.0294401286004742,0.25311913804815
"gp0.p[, 1]23",0.110552763819095,0.121290119794097,0.0186112977791373,0.223968941809056
"gp0.p[, 1]24",0.115577889447236,0.102449517589158,0.0104245469202949,0.194474488258022
"gp0.p[, 1]25",0.120603015075377,0.0851921378692068,0.00532396373965685,0.165060311998757
"gp0.p[, 1]26",0.125628140703518,0.0700087154247967,0.00376722260982189,0.136250208239772
"gp0.p[, 1]27",0.130653266331658,0.0574299582874447,0.00618999137443202,0.108669925200457
"gp0.p[, 1]28",0.135678391959799,0.0479963692234032,0.0129490471864451,0.0830436912603613
"gp0.p[, 1]29",0.14070351758794,0.0422086637225345,0.0242047825578764,0.0602125448871925
"gp0.p[, 1]30",0.14572864321608,0.0404511661461327,0.0372894578333685,0.0436128744588969
"gp0.p[, 1]31",0.150753768844221,0.0428812382523879,0.0248707233490316,0.0608917531557443
"gp0.p[, 1]32",0.155778894472362,0.0493522110381152,0.014278258631647,0.0844261634445833
"gp0.p[, 1]33",0.160804020100503,0.0594905155243804,0.00818953813001572,0.110791492918745
"gp0.p[, 1]34",0.165829145728643,0.0728063128274185,0.00645346712894054,0.139159158525896
"gp0.p[, 1]35",0.170854271356784,0.0887701483452293,0.008722085270039,0.16881821142042
"gp0.p[, 1]36",0.175879396984925,0.106862571206466,0.014568064244554,0.199157078168379
"gp0.p[, 1]37",0.180904522613065,0.1266043320685,0.0235415705377292,0.229667093599271
"gp0.p[, 1]38",0.185929648241206,0.147572828568171,0.0352058120766402,0.259939845059701
"gp0.p[, 1]39",0.190954773869347,0.169408982722412,0.0491592536529059,0.289658711791918
"gp0.p[, 1]40",0.195979899497487,0.191817605214474,0.0650484412210404,0.318586769207908
"gp0.p[, 1]41",0.201005025125628,0.214563447229898,0.0825740552387383,0.346552839221059
"gp0.p[, 1]42",0.206030150753769,0.237464498644028,0.101492074167934,0.373436923120122
"gp0.p[, 1]43",0.21105527638191,0.260383613393887,0.121611411943938,0.399155814843836
"gp0.p[, 1]44",0.21608040201005,0.283219191531194,0.142789003406932,0.423649379655456
