"","x","EI"
"1",0,0
"2",0.0050251256281407,0
"3",0.0100502512562814,2.55640992356118e-142
"4",0.0150753768844221,5.22809102286562e-69
"5",0.0201005025125628,5.60193956300843e-43
"6",0.0251256281407035,9.32426077186429e-31
"7",0.0301507537688442,5.03624223579829e-24
"8",0.0351758793969849,6.51352381236134e-20
"9",0.0402010050251256,3.24106462355664e-17
"10",0.0452261306532663,2.36141428957886e-15
"11",0.050251256281407,5.12117335410138e-14
"12",0.0552763819095477,4.95616643807893e-13
"13",0.0603015075376884,2.73099027532274e-12
"14",0.0653266331658292,9.96996130519862e-12
"15",0.0703517587939698,2.6513875263628e-11
"16",0.0753768844221106,5.43850664668792e-11
"17",0.0804020100502513,8.86033694106142e-11
"18",0.085427135678392,1.1532794046283e-10
"19",0.0904522613065327,1.17846479480652e-10
"20",0.0954773869346734,9.03234964716198e-11
"21",0.100502512562814,4.76805705458532e-11
"22",0.105527638190955,1.49240996626606e-11
"23",0.110552763819095,2.12076348190596e-12
"24",0.115577889447236,8.26687508753338e-14
"25",0.120603015075377,3.11699337410196e-16
"26",0.125628140703518,9.66428519679764e-21
"27",0.130653266331658,2.00698009174093e-30
"28",0.135678391959799,1.17572439757934e-57
"29",0.14070351758794,1.54767534679163e-200
"30",0.14572864321608,0
"31",0.150753768844221,1.2610739670005e-200
"32",0.155778894472362,1.05368974213573e-57
"33",0.160804020100503,1.85366191621645e-30
"34",0.165829145728643,9.04857594300285e-21
"35",0.170854271356784,2.93967074289562e-16
"36",0.175879396984925,7.83120321875309e-14
"37",0.180904522613065,2.01579694347295e-12
"38",0.185929648241206,1.42362527639408e-11
"39",0.190954773869347,4.57096793700902e-11
"40",0.195979899497487,8.72664067330342e-11
"41",0.201005025125628,1.15283463180231e-10
"42",0.206030150753769,1.15057582969607e-10
"43",0.21105527638191,9.11238345287319e-11
"44",0.21608040201005,5.8577888196824e-11
"45",0.221105527638191,3.06099051610399e-11
"46",0.226130653266332,1.27647191024437e-11
"47",0.231155778894472,4.07921627016216e-12
"48",0.236180904522613,9.32684324634394e-13
"49",0.241206030150754,1.36893085071449e-13
"50",0.246231155778894,1.08865639069465e-14
"51",0.251256281407035,3.58085124907692e-16
"52",0.256281407035176,3.11574840626832e-18
"53",0.261306532663317,3.28174060795049e-21
"54",0.266331658291457,9.59997140542457e-26
"55",0.271356783919598,3.66271201814283e-33
"56",0.276381909547739,1.26353764288289e-46
"57",0.281407035175879,2.69634207779257e-75
