"","pre_value","pre_value.sd","ego","ego.sd"
"1",0.1247483152,0.00327385153742928,0.1247483152,0.00327385153742928
"2",0.5869469168,0.0934555417624993,0.25483338555,0.0339169156268139
"3",0.5816083149,0.0871463993726984,0.27150231745,0.0388346964160585
"4",0.46627919045,0.0842735118517787,0.20086497635,0.0354899842052943
"5",0.4225181601,0.0779097922158354,0.1769246415,0.0330727613952989
"6",0.36490801535,0.0789430782442118,0.15701853675,0.0336233170755998
"7",0.3665808167,0.076585600189035,0.1339444526,0.0305262313718295
"8",0.3597055439,0.08875853187994,0.10526723655,0.0263519059301179
"9",0.2724305398,0.0669680663980389,0.12801952045,0.0370798264266826
"10",0.2138146817,0.0581495413943058,0.1015339273,0.0308002517548844
"11",0.2298520478,0.0692830665755388,0.0782968812,0.0307245614000606
"12",0.23173932325,0.0733030526899117,0.0854976515,0.0337918024465662
"13",0.1667189821,0.0571162313888472,0.05088974575,0.0278196668719019
"14",0.1409483893,0.0480189902237333,0.04488121875,0.0229358370745876
"15",0.1385606928,0.0500431667831731,0.03081772495,0.0162761787911103
"16",0.10951373175,0.0439589162795427,0.0471496125,0.0288642682397768
"17",0.13056314905,0.0622995838925744,0.03168564695,0.0211207884916538
"18",0.118751653,0.056756843770899,0.0157396512,0.0117397227987782
"19",0.05853342985,0.0278509908012733,0.0229994122,0.0200515316071512
"20",0.07434193115,0.0466281166532616,0.0388792309,0.0308101652758539
"21",0.0529976781,0.0301260685250467,0.0084666521,0.00765159281433922
"22",0.0305576117,0.0210623029546719,0.0065626887,0.00692595997320932
"23",0.0453993569,0.0309727091358189,0.00653559875,0.00873948242994764
"24",0.0234683317,0.0156793848343033,0.00383991195,0.00600481091869776
"25",0.0306975643,0.0292069998072069,0.00528685525,0.00785427132663701
"26",0.01454317825,0.0144496459300551,0.0023315972,0.00324588755414888
"27",0.0106078717,0.0099683968238037,0.0073324041,0.012670844066968
"28",0.0157026509,0.0226044453312901,0.0024785787,0.00371717643983922
"29",0.00621120225,0.00679869896820269,0.00676578385,0.0133418317400003
"30",0.0070269507,0.00756019998984048,0.0003394923,0.000669464062708079
"31",0.0011165208,0.0022017304983532,0.0039992858,0.0078864178056431
"32",0.00416449135,0.00821219597111231,0.00184033745,0.00362906547815908
"33",0,0,0.0027021192,0.00532846163978831
"34",0,0,0.00677668205,0.0133633225168109
"35",0,0,0.00213192745,0.00420406828689745
"36",0,0,0.0017203911,0.00339253648831747
"37",0,0,0,0
"38",0,0,0,0
"39",0,0,0,0
"40",0,0,0,0
"41",0,0,0,0
"42",0,0,0,0
"43",0,0,0,0
"44",0,0,0,0
"45",0,0,0,0
"46",0,0,0,0
"47",0,0,0,0
"48",0,0,0,0
"49",0,0,0,0
"50",0,0,0,0
