,pre_value,pre_value.sd,tego,tego.sd
1,0.147571262,0.0073935266344167,0.147571262,0.0073935266344167
2,0.565975685,0.0717125729905155,0.309093129,0.0376416603939247
3,0.635114879,0.0932485244330316,0.278638015,0.0361326215041615
4,0.560857612,0.0803648156107691,0.29782009,0.0421784202981444
5,0.542828491,0.0816064740535434,0.253575014,0.0368634050237513
6,0.581287431,0.08662423932025,0.276067485,0.0376169720105761
7,0.596082211,0.0821114466833665,0.262850807,0.0422910330164732
8,0.563389858,0.0749975519017851,0.243065482,0.0429162290403803
9,0.583285786,0.0934779846823794,0.253931124,0.0489459435101863
10,0.562772743,0.093915729452033,0.186820155,0.0317157298726598
11,0.511342395,0.0779653363419531,0.263500012,0.0562967141751861
12,0.465395317,0.0817969724051548,0.206382795,0.0367165857577596
13,0.422018555,0.0770111481758097,0.230147617,0.0421973366745593
14,0.421763505,0.0852950731946169,0.240810535,0.0455495019711921
15,0.472334072,0.0837272331782868,0.235836228,0.0515231943009573
16,0.433559537,0.0790965989044036,0.171068935,0.0361801985278708
17,0.39082644,0.0679766821368322,0.170552734,0.0419942481306666
18,0.378361934,0.0735850484612561,0.153095308,0.0373018555480196
19,0.440813068,0.0896512342308506,0.2022152,0.0485182256503883
20,0.430165766,0.0844222267889575,0.155923559,0.0499027829306043
21,0.337777666,0.0752519592045771,0.144213136,0.0371428282944324
22,0.360377474,0.0910724094332723,0.160458454,0.0462737353687089
23,0.297202915,0.0620474146483466,0.139859105,0.0381741670261153
24,0.369029985,0.0901511805639024,0.149097475,0.0415099635120152
25,0.265966855,0.0697795969664733,0.123587445,0.0365138367662063
26,0.30428443,0.0835073422304675,0.159887301,0.0450183990783268
27,0.204425727,0.0541699948895877,0.161846999,0.0544907221501305
28,0.253414492,0.0743901396764117,0.117820911,0.0364526677719692
29,0.242196187,0.0625306640280183,0.123149985,0.0474364759898809
30,0.183808948,0.0504027208457624,0.13016889,0.0420442418923159
31,0.17519896,0.0504982667025062,0.134901817,0.0453434767775712
32,0.188642416,0.0581945634696773,0.100812416,0.0328086696012532
33,0.170710881,0.0588235762601868,0.122704998,0.0473846340205189
34,0.167884919,0.0638969823485956,0.074616373,0.0269259494381736
35,0.173569089,0.0563614346606727,0.097429274,0.0486497411892338
36,0.146027004,0.0483674557309124,0.114795613,0.0410983560140715
37,0.121644867,0.0398696723488581,0.116320684,0.0493625188233102
38,0.111256663,0.0433514819889985,0.061381718,0.0232919630915839
39,0.070600477,0.0268496067621688,0.080781959,0.0319517146478077
40,0.0826024,0.0379480506575295,0.089925956,0.0419626042112592
41,0.094538208,0.053911644571355,0.090418377,0.0389453620538206
42,0.078370454,0.042272698983619,0.089291121,0.0381579720997771
43,0.069363265,0.0371633931001671,0.089112104,0.0497134110046123
44,0.080127689,0.042169280522737,0.055893525,0.027738773961285
45,0.095531206,0.0546323307170041,0.058908947,0.0277845420900001
46,0.090479323,0.0527690802335475,0.051789931,0.0246971554085298
47,0.08515737,0.0512037461736657,0.072828327,0.0465033899583695
48,0.060794841,0.0369755878967079,0.051036316,0.0395393068944045
49,0.043193226,0.0224158755388243,0.059861856,0.0395856575177544
50,0.068723675,0.044464511150295,0.078366294,0.0400105974075461
