,pre_value,pre_value.sd,tego,tego.sd
1,0.147571262,0.0073935266344167,0.147571262,0.0073935266344167
2,0.133488939,0.00774052185266094,0.124709509,0.00793096890213153
3,0.120752674,0.00833152345150311,0.105615449,0.00749655591062044
4,0.110493889,0.00785616207511813,0.090906356,0.00778154454696441
5,0.096339846,0.00785381173525825,0.07595665,0.00718325550381481
6,0.088380804,0.00765981915133473,0.068421978,0.00693330429628382
7,0.08332182,0.00745624616335373,0.056261317,0.00643915168247599
8,0.077113744,0.0067983413031414,0.048771116,0.00599195435175521
9,0.070333457,0.00637622398357063,0.042915654,0.00544726304847387
10,0.064493362,0.00617795723284573,0.03809728,0.00497430067436692
11,0.060477852,0.00611060999082151,0.03480031,0.00479194542003661
12,0.055364246,0.00596474145201476,0.032645687,0.00471952491298
13,0.050720273,0.00578253732423713,0.029815125,0.00461379665913873
14,0.048105695,0.00561983404145004,0.027367594,0.00453757777444239
15,0.043637716,0.00501621889037514,0.023240024,0.00340496033804467
16,0.040444777,0.0047061486199571,0.022001306,0.00326407329416112
17,0.037670085,0.00448858359868564,0.018905511,0.00296264676177835
18,0.033875489,0.00415681082383279,0.018260715,0.00292459119981103
19,0.031276432,0.00406088276637435,0.017115577,0.00278693749305488
20,0.030754239,0.00404686575563316,0.016173779,0.00268603167131309
21,0.028469569,0.00389206719396476,0.015348472,0.00266161013513685
22,0.026822349,0.00377784888855397,0.014534993,0.00256432127118027
23,0.025324812,0.0036914335683612,0.013430737,0.00247831181179994
24,0.023392224,0.00350475840739622,0.012418311,0.0023965506456736
25,0.021149052,0.00319280118553916,0.01156312,0.00230192061756884
26,0.020290784,0.00316974511281806,0.010830843,0.00225905042412828
27,0.018821029,0.00313687697003792,0.01053524,0.00221361321305043
28,0.017013384,0.00304079514071127,0.010093325,0.00216149960818305
29,0.016151496,0.00301481428242855,0.00943692,0.00211354214659228
30,0.015434206,0.00295762589790671,0.008615577,0.00204815771278561
31,0.014091065,0.00285888332857654,0.008354025,0.00200357848121482
32,0.013757226,0.00283991714504339,0.008120938,0.00197821599009058
33,0.012940369,0.00267122246288691,0.007239148,0.00189424951543549
34,0.011431805,0.00257055129943471,0.006446617,0.00175520960726558
35,0.010940511,0.00251969868994021,0.005923166,0.00170921812926214
36,0.010152338,0.0024548642220306,0.005690079,0.00167281041694106
37,0.009527915,0.00239741813163925,0.005428353,0.00164688427531141
38,0.008204732,0.00219928996299052,0.005195266,0.0016076655255454
39,0.007415371,0.00211012219485403,0.004904903,0.00159124567430763
40,0.00646895,0.00197362133475029,0.004808115,0.00158550371364601
41,0.005357765,0.00176267657108264,0.00454639,0.00155522791730579
42,0.004604746,0.00162390275281181,0.004381452,0.00153009457705722
43,0.003771495,0.00142283407030095,0.004178422,0.00151033446070229
44,0.003771495,0.00142283407030095,0.003668358,0.00137239709580546
45,0.003771495,0.00142283407030095,0.003144908,0.00129124130255007
46,0.003541753,0.00136051803879187,0.002883182,0.0012470780338275
47,0.00324386,0.00127063828409629,0.002883182,0.0012470780338275
48,0.003047114,0.0012129775329118,0.002815032,0.00122191818403834
49,0.002756751,0.00118085221716712,0.002506073,0.00113522665551426
50,0.002595158,0.00112904389154827,0.002437923,0.00110707524275812
