,cego,cego.sd,pre_value,pre_value.sd,Tego,Tego.sd
1,0.150223427483171,0.0139499587905242,NA,NA,NA,NA
2,0.121031390823956,0.0122850020477318,NA,NA,NA,NA
3,0.0984522222584273,0.0115118467758292,NA,NA,NA,NA
4,0.078981010415614,0.0109561425790071,NA,NA,NA,NA
5,0.0603075887583237,0.00990405516705146,NA,NA,NA,NA
6,0.0464356450740776,0.00933836855922537,NA,NA,NA,NA
7,0.0361355613144227,0.0089482730710238,NA,NA,NA,NA
8,0.02849156696089,0.00843718281231192,NA,NA,NA,NA
9,0.0241376595936562,0.00819349731816995,NA,NA,NA,NA
10,0.0216074778639041,0.00802564860890032,NA,NA,NA,NA
11,0.0197791939186529,0.00780024889396788,NA,NA,NA,NA
12,0.0188509395491423,0.00772419223928092,NA,NA,NA,NA
13,0.0182542960766191,0.00769654649584022,NA,NA,NA,NA
14,0.0178489527600457,0.0077009805956918,NA,NA,NA,NA
15,0.0178489527600457,0.0077009805956918,NA,NA,NA,NA
16,0.0175980619504141,0.00760806487098393,NA,NA,NA,NA
17,0.0174164440343589,0.00756031781566396,NA,NA,NA,NA
18,0.0150423509706083,0.00695113518668187,NA,NA,NA,NA
19,0.0119832071932898,0.0060519496092315,NA,NA,NA,NA
20,0.0106986300603837,0.00579869470633142,NA,NA,NA,NA
21,0.00704849614985792,0.00448238119964948,NA,NA,NA,NA
22,0.00546489970347659,0.00376879805720206,NA,NA,NA,NA
23,0.00415213973423852,0.00296335269320087,NA,NA,NA,NA
24,0.00318335491953666,0.00248538223386263,NA,NA,NA,NA
25,0.00165380326018859,0.00127221626005226,NA,NA,NA,NA
26,0.00104672010101425,0.000906288576434458,NA,NA,NA,NA
27,0.000422008397738546,0.000500340699816828,NA,NA,NA,NA
28,0.000110165924819255,0.000217242416400875,NA,NA,NA,NA
29,0,0,NA,NA,NA,NA
30,0,0,NA,NA,NA,NA
31,0,0,NA,NA,NA,NA
32,0,0,NA,NA,NA,NA
33,0,0,NA,NA,NA,NA
34,0,0,NA,NA,NA,NA
35,0,0,NA,NA,NA,NA
36,0,0,NA,NA,NA,NA
37,0,0,NA,NA,NA,NA
38,0,0,NA,NA,NA,NA
39,0,0,NA,NA,NA,NA
40,0,0,NA,NA,NA,NA
41,0,0,NA,NA,NA,NA
42,0,0,NA,NA,NA,NA
43,0,0,NA,NA,NA,NA
44,0,0,NA,NA,NA,NA
45,0,0,NA,NA,NA,NA
46,0,0,NA,NA,NA,NA
47,0,0,NA,NA,NA,NA
48,0,0,NA,NA,NA,NA
49,0,0,NA,NA,NA,NA
50,0,0,NA,NA,NA,NA
