,cego,cego.sd,pre_value,pre_value.sd
1,0.147571262,0.0073935266344167,NA,NA
2,0.425266679,0.0586389927006757,NA,NA
3,0.385716063,0.0572836517450296,NA,NA
4,0.40404041,0.0586789400060879,NA,NA
5,0.404073086,0.0649017369022171,NA,NA
6,0.40443734,0.0663572065931389,NA,NA
7,0.404055647,0.073933144217913,NA,NA
8,0.334581955,0.0617706491002849,NA,NA
9,0.374275705,0.0709851515616933,NA,NA
10,0.354365701,0.0747440192865007,NA,NA
11,0.385725623,0.0719533679878002,NA,NA
12,0.417704073,0.0849095339951725,NA,NA
13,0.367682021,0.07869487218119,NA,NA
14,0.416503785,0.0824181004729855,NA,NA
15,0.411924505,0.0850965413997747,NA,NA
16,0.386939471,0.085425526184882,NA,NA
17,0.376257755,0.0753370560045228,NA,NA
18,0.3882264,0.086597997246932,NA,NA
19,0.338004927,0.0795960806235136,NA,NA
20,0.34562949,0.0844366862813128,NA,NA
21,0.310782642,0.0774352120550596,NA,NA
22,0.368889537,0.0816698021210292,NA,NA
23,0.365188182,0.0815427523098096,NA,NA
24,0.333900166,0.0768128456707743,NA,NA
25,0.356926183,0.0855899015491841,NA,NA
26,0.280702272,0.0697151982047892,NA,NA
27,0.355783425,0.0852694935314251,NA,NA
28,0.303416224,0.0723314936497207,NA,NA
29,0.299304233,0.0810076459893325,NA,NA
30,0.280999083,0.0706097149884015,NA,NA
31,0.219922388,0.0664056774715659,NA,NA
32,0.238207803,0.0699458337153537,NA,NA
33,0.25497963,0.0762037088018465,NA,NA
34,0.235327153,0.0680380807857444,NA,NA
35,0.21563351,0.0741907073450039,NA,NA
36,0.23220804,0.0709110776445623,NA,NA
37,0.223761762,0.0684252295108783,NA,NA
38,0.225869037,0.0717251874908324,NA,NA
39,0.278833924,0.0816680962937577,NA,NA
40,0.182104166,0.0550208232110423,NA,NA
41,0.233729512,0.0765477513619729,NA,NA
42,0.217250125,0.0757485409254837,NA,NA
43,0.299698809,0.0921656054370627,NA,NA
44,0.177288492,0.0623726138399057,NA,NA
45,0.155356395,0.0539363868465864,NA,NA
46,0.231372677,0.0788531234277422,NA,NA
47,0.258332719,0.0887212721211144,NA,NA
48,0.155739945,0.0603985090280908,NA,NA
49,0.196158538,0.0702360993831075,NA,NA
50,0.196531677,0.0745206255704642,NA,NA
