"","x","es","order.num"
"1",0.969849246231156,0.0356317811557887,194
"2",0.381909547738693,0.16414434136918,77
"3",0.879396984924623,-0.0102961065203775,176
"4",0.170854271356784,-0.273572699063549,35
"5",0.366834170854271,0.0511706481845098,74
"6",0.371859296482412,0.0915079762295968,75
"7",0.376884422110553,0.129219747680773,76
"8",0.42713567839196,0.347250778955796,86
"9",0.994974874371859,0.0498844662057288,199
"10",0.522613065326633,0.227709111686877,105
"11",0.552763819095477,0.150980907680818,111
"12",0.562814070351759,0.126776183861278,113
"13",0.5678391959799,0.115095551313597,114
"131",0.5678391959799,0.115095551313597,114
