"","x","mean","lower","upper"
"gp0.p[, 1]169",0.844221105527638,-0.0175996875497304,-0.0866655652380494,0.0514661901385886
"gp0.p[, 1]170",0.849246231155779,-0.0168507790821771,-0.075995099271341,0.0422935411069869
"gp0.p[, 1]171",0.85427135678392,-0.0160145464095375,-0.0650837917574442,0.0330546989383693
"gp0.p[, 1]172",0.85929648241206,-0.0150844136246643,-0.0540240744495756,0.023855247200247
"gp0.p[, 1]173",0.864321608040201,-0.0140537436625385,-0.0429300617333929,0.014822574408316
"gp0.p[, 1]174",0.869346733668342,-0.0129159717926091,-0.0319516852585141,0.00611974167329584
"gp0.p[, 1]175",0.874371859296482,-0.0116647697056278,-0.0213595233280867,-0.00197001608316891
"gp0.p[, 1]176",0.879396984924623,-0.0102942459933455,-0.0134557588502487,-0.00713273313644224
"gp0.p[, 1]177",0.884422110552764,-0.00879918588492141,-0.0177616906513835,0.000163318881540635
"gp0.p[, 1]178",0.889447236180904,-0.00717524169102082,-0.0234539212971553,0.00910343791511368
"gp0.p[, 1]179",0.894472361809045,-0.00541892578097329,-0.0281896457879087,0.0173517942259621
"gp0.p[, 1]180",0.899497487437186,-0.0035275597439392,-0.0317230111515357,0.0246678916636573
"gp0.p[, 1]181",0.904522613065327,-0.00149927385883817,-0.0339438256094911,0.0309452778918147
"gp0.p[, 1]182",0.909547738693467,0.000666940214733378,-0.0347927177149506,0.0361265981444173
"gp0.p[, 1]183",0.914572864321608,0.00297112324254765,-0.0342481783601572,0.0401904248452525
"gp0.p[, 1]184",0.919597989949749,0.00541218723441377,-0.0323234971317096,0.0431478716005371
"gp0.p[, 1]185",0.924623115577889,0.00798769657692566,-0.0290661564883525,0.0450415496422038
"gp0.p[, 1]186",0.92964824120603,0.0106935875348232,-0.0245581613230296,0.045945336392676
"gp0.p[, 1]187",0.934673366834171,0.0135238208746806,-0.018916894725015,0.0459645364743763
"gp0.p[, 1]188",0.939698492462312,0.0164699609881164,-0.0122964115202649,0.0452363334964976
"gp0.p[, 1]189",0.944723618090452,0.0195206734166978,-0.00488931357163589,0.0439306604050315
"gp0.p[, 1]190",0.949748743718593,0.0226611310830924,0.00307010797639484,0.0422521541897899
"gp0.p[, 1]191",0.954773869346734,0.0258723177870079,0.011298784088494,0.0404458514855218
"gp0.p[, 1]192",0.959798994974874,0.0291302156022597,0.0194417117596389,0.0388187194448806
"gp0.p[, 1]193",0.964824120603015,0.0324048606826258,0.0269601629156749,0.0378495584495767
"gp0.p[, 1]194",0.969849246231156,0.0356592496158683,0.0325042601259543,0.0388142391057822
"gp0.p[, 1]195",0.974874371859296,0.0388481325343701,0.0348251499079941,0.0428711151607461
"gp0.p[, 1]196",0.979899497487437,0.0419180911989949,0.0367239195175717,0.047112262880418
"gp0.p[, 1]197",0.984924623115578,0.0448111948724936,0.0395679546891986,0.0500544350557887
"gp0.p[, 1]198",0.989949748743719,0.0474700871585007,0.0433819001658343,0.051558274151167
"gp0.p[, 1]199",0.994974874371859,0.0498432547225444,0.0466867438284504,0.0529997656166384
"gp0.p[, 1]200",1,0.0518905120665998,0.0459066250974069,0.0578743990357928
