"","ego","ego.sd","PI","PI.sd","LCB","LCB.sd","EQI","EQI.sd"
"1",1.43552851632373,0.088861501963428,1.43552851632373,0.088861501963428,NA,NA,NA,NA
"2",1.41434450813391,0.0937859769271077,1.41687762043391,0.0934296604310889,NA,NA,NA,NA
"3",1.39900962276399,0.0980072669595689,1.38923901296034,0.101496358168959,NA,NA,NA,NA
"4",1.31903393606233,0.104275123864016,1.35901543494974,0.101889550402226,NA,NA,NA,NA
"5",1.31602868095169,0.104514860779184,1.33395632763812,0.100820310358449,NA,NA,NA,NA
"6",1.2814921215861,0.110380464322292,1.29528413641567,0.110274803868524,NA,NA,NA,NA
"7",1.26702322427512,0.113215436099979,1.25247600412114,0.118478359473152,NA,NA,NA,NA
"8",1.23826191453195,0.118306226474519,1.22217819535167,0.123186431987506,NA,NA,NA,NA
"9",1.12979798256314,0.124756683058712,1.1528441338884,0.127349024264641,NA,NA,NA,NA
"10",1.10937281150705,0.128648070251738,1.1528441338884,0.127349024264641,NA,NA,NA,NA
"11",1.09575529862922,0.130411115976187,1.12160594744644,0.130830940006876,NA,NA,NA,NA
"12",1.06667144507302,0.133512642277095,1.0771596855911,0.137715918800325,NA,NA,NA,NA
"13",1.04648410967683,0.134081596492328,1.02545935472256,0.13530602072322,NA,NA,NA,NA
"14",1.01731812438994,0.131850018234187,0.978524098561521,0.137124604825969,NA,NA,NA,NA
"15",0.993653165945211,0.130302579701427,0.970029919056488,0.13523367150648,NA,NA,NA,NA
"16",0.982378627063213,0.13175448321251,0.955661411087873,0.136262536122143,NA,NA,NA,NA
"17",0.9619938617589,0.134569278607033,0.954624239016098,0.136159904390137,NA,NA,NA,NA
"18",0.946755557031964,0.135663801133274,0.925650232851021,0.137824023032114,NA,NA,NA,NA
"19",0.912332013171306,0.139106354731708,0.900765305141139,0.139877268706769,NA,NA,NA,NA
"20",0.897667207206756,0.13986015908407,0.843729822720164,0.138585007724534,NA,NA,NA,NA
"21",0.871770872277686,0.141258947246095,0.816374058850862,0.139486743591174,NA,NA,NA,NA
"22",0.857253448583705,0.141824456689126,0.801321169435368,0.139534417660526,NA,NA,NA,NA
"23",0.816700714803387,0.143031744376158,0.776128950107244,0.140569269900086,NA,NA,NA,NA
"24",0.771063570148326,0.14330417431388,0.753034548226796,0.141773474559541,NA,NA,NA,NA
"25",0.771063570148326,0.14330417431388,0.739748577846107,0.141923953436843,NA,NA,NA,NA
