"","V1"
"1",0.192632342161416
"2",0.193771406139758
"3",0.191622095255523
"4",0.189978414080214
"5",0.188418042751623
"6",0.415839179827147
"7",0.00575013289747117
"8",0
"9",0.0295177391754187
"10",0
"11",0.0404109170799881
