"","iter_mean_w","V1","V1"
"1",0,1,4
"2",0,39,4
"3",0,10,2
"4",0,4,4
"5",0,5,5
"6",0,14,22
"7",0,15,10
"8",0,5,2
"9",0,3,5
"10",0,2,5
"11",0,10,6
"12",0,6,7
"13",0,6,5
"14",0,18,10
"15",0,5,8
"16",0,12,1
"17",0,7,8
"18",0,6,6
"19",0,8,10
"20",0,1,1
"21",0,13,6
"22",0,2,8
"23",0,5,5
"24",0,2,8
"25",0,5,1
"26",0,6,1
"27",0,1,3
"28",0,11,8
"29",0,1,11
"30",0,1,1
"31",0,9,4
"32",0,4,4
"33",0,1,1
"34",0,9,1
"35",0,5,1
"36",0,7,11
"37",0,4,1
"38",0,4,9
"39",0,1,1
"40",0,2,4
"41",0,3,3
"42",0,3,7
"43",0,6,9
"44",0,8,9
"45",0,13,5
"46",0,9,4
"47",0,10,2
"48",0,3,1
"49",0,6,4
"50",0,17,2
"51",0,8,6
"52",0,2,11
"53",0,5,1
"54",0,10,5
"55",0,1,1
"56",0,11,6
"57",0,9,3
"58",0,12,9
"59",0,1,2
"60",0,3,1
"61",0,1,4
"62",0,9,14
"63",0,2,1
"64",0,2,1
"65",0,4,6
"66",0,2,3
"67",0,1,1
"68",0,17,2
"69",0,1,4
"70",0,4,2
"71",0,2,1
"72",0,18,8
"73",0,7,7
"74",0,1,2
"75",0,1,7
"76",0,4,1
"77",0,5,5
"78",0,2,2
"79",0,10,5
"80",0,2,6
"81",0,1,3
"82",0,1,3
"83",0,34,11
"84",0,4,1
"85",0,7,6
"86",0,25,7
"87",0,1,4
"88",0,9,2
"89",0,2,4
"90",0,16,4
"91",0,18,1
"92",0,1,2
"93",0,1,3
"94",0,3,2
"95",0,13,11
"96",0,5,10
"97",0,7,6
"98",0,3,11
"99",0,8,12
"100",0,6,8
"101",0,4,11
"102",0,1,2
"103",0,20,8
"104",0,12,4
"105",0,4,3
"106",0,4,1
"107",0,2,1
"108",0,1,4
"109",0,4,5
"110",0,9,7
"111",0,2,4
"112",0,7,1
"113",0,11,8
"114",0,8,2
"115",0,2,1
"116",0,5,1
"117",0,2,9
"118",0,3,5
"119",0,3,1
"120",0,15,4
"121",0,1,3
"122",0,5,2
"123",0,2,4
"124",0,1,7
"125",0,14,3
"126",0,9,1
"127",0,16,6
"128",0,5,3
"129",0,19,12
"130",0,5,9
"131",0,2,8
"132",0,13,3
"133",0,11,4
"134",0,2,3
"135",0,13,3
"136",0,17,16
"137",0,10,6
"138",0,3,1
"139",0,7,1
"140",0,3,3
"141",0,6,8
"142",0,1,2
"143",0,6,1
"144",0,2,2
"145",0,5,12
"146",0,28,7
"147",0,9,1
"148",0,5,10
"149",0,8,1
"150",0,4,6
"151",0,6,11
"152",0,7,5
"153",0,13,2
"154",0,13,4
"155",0,3,1
"156",0,11,13
"157",0,8,15
"158",0,9,14
"159",0,18,12
"160",0,14,4
"161",0,8,11
"162",0,20,17
"163",0,8,3
"164",0,8,9
"165",0,12,11
"166",0,18,5
"167",0,7,2
"168",0,8,7
"169",0,22,9
"170",0,3,5
"171",0,10,5
"172",0,1,2
"173",0,3,5
"174",0,2,4
"175",0,2,2
"176",0,1,2
"177",0,2,3
"178",0,3,1
"179",0,14,10
"180",0,2,2
"181",0,7,9
"182",0,3,19
"183",0,27,7
"184",0,16,9
"185",0,2,1
"186",0,8,9
"187",0,9,10
"188",0,13,5
"189",0,12,14
"190",0,4,7
"191",0,3,1
"192",0,2,1
"193",0,12,4
"194",0,2,12
"195",0,7,3
"196",0,11,5
"197",0,12,2
"198",0,10,3
"199",0,1,6
"200",0,10,11
