"","iter_mean_w","V1","V1"
"1",0,3,35
"2",0,7,17
"3",0,17,12
"4",0,14,3
"5",0,6,3
"6",0,23,8
"7",0,13,13
"8",0,15,6
"9",0,10,1
"10",0,12,5
"11",0,21,21
"12",0,36,11
"13",0,28,31
"14",0,27,14
"15",0,13,5
"16",0,3,6
"17",0,9,7
"18",0,18,19
"19",0,11,6
"20",0,4,8
"21",0,4,6
"22",0,4,21
"23",0,5,21
"24",0,5,30
"25",0,10,22
"26",0,5,12
"27",0,32,8
"28",0,12,14
"29",0,13,21
"30",0,28,20
"31",0,7,2
"32",0,18,28
"33",0,21,6
"34",0,16,22
"35",0,16,2
"36",0,7,11
"37",0,15,13
"38",0,4,19
"39",0,1,7
"40",0,27,30
"41",0,14,11
"42",0,21,16
"43",0,19,12
"44",0,32,39
"45",0,21,14
"46",0,11,4
"47",0,9,27
"48",0,6,11
"49",0,23,7
"50",0,14,20
"51",0,2,4
"52",0,25,17
"53",0,3,6
"54",0,15,9
"55",0,1,4
"56",0,19,4
"57",0,11,19
"58",0,20,12
"59",0,40,12
"60",0,30,18
"61",0,8,2
"62",0,2,6
"63",0,7,3
"64",0,35,8
"65",0,25,21
"66",0,13,16
"67",0,17,13
"68",0,30,14
"69",0,11,11
"70",0,42,7
"71",0,6,9
"72",0,14,14
"73",0,10,6
"74",0,5,6
"75",0,3,7
"76",0,15,11
"77",0,7,4
"78",0,9,8
"79",0,14,5
"80",0,12,14
"81",0,11,18
"82",0,8,21
"83",0,17,1
"84",0,4,2
"85",0,17,3
"86",0,34,31
"87",0,18,26
"88",0,37,12
"89",0,1,10
"90",0,20,12
"91",0,30,20
"92",0,47,24
"93",0,28,21
"94",0,9,14
"95",0,4,3
"96",0,34,15
"97",0,10,14
"98",0,25,6
"99",0,11,5
"100",0,14,10
"101",0,15,4
"102",0,33,17
"103",0,3,4
"104",0,29,21
"105",0,2,3
"106",0,4,14
"107",0,20,9
"108",0,12,5
"109",0,7,10
"110",0,6,3
"111",0,19,15
"112",0,41,32
"113",0,42,25
"114",0,24,8
"115",0,48,29
"116",0,16,19
"117",0,18,6
"118",0,28,5
"119",0,5,5
"120",0,1,19
"121",0,15,21
"122",0,19,9
"123",0,2,6
"124",0,9,8
"125",0,20,5
"126",0,7,21
"127",0,24,14
"128",0,38,42
"129",0,24,14
"130",0,3,6
"131",0,6,12
"132",0,1,7
"133",0,7,4
"134",0,16,4
"135",0,13,23
"136",0,9,7
"137",0,19,8
"138",0,7,6
"139",0,14,7
"140",0,2,4
"141",0,8,17
"142",0,47,15
"143",0,14,2
"144",0,32,9
"145",0,37,10
"146",0,6,1
"147",0,14,20
"148",0,16,14
"149",0,3,17
"150",0,7,8
"151",0,15,11
"152",0,13,13
"153",0,3,2
"154",0,40,38
"155",0,13,12
"156",0,34,4
"157",0,2,15
"158",0,16,15
"159",0,22,4
"160",0,7,23
"161",0,22,10
"162",0,29,6
"163",0,33,14
"164",0,26,10
"165",0,2,9
"166",0,2,22
"167",0,18,12
"168",0,28,13
"169",0,19,22
"170",0,24,5
"171",0,17,7
"172",0,22,11
"173",0,33,16
"174",0,30,14
"175",0,22,12
"176",0,1,3
"177",0,15,25
"178",0,1,17
"179",0,3,1
"180",0,43,5
"181",0,6,12
"182",0,23,9
"183",0,11,12
"184",0,20,19
"185",0,31,19
"186",0,3,11
"187",0,3,2
"188",0,33,13
"189",0,10,7
"190",0,27,6
"191",0,2,23
"192",0,32,16
"193",0,17,3
"194",0,5,20
"195",0,6,4
"196",0,3,7
"197",0,32,17
"198",0,25,18
"199",0,16,16
"200",0,19,10
