"","iter_mean_w","V1","V1"
"1",0,4,1
"2",0,8,4
"3",0,1,4
"4",0,1,18
"5",0,3,1
"6",0,2,4
"7",0,4,15
"8",0,2,1
"9",0,6,3
"10",0,1,6
"11",0,2,2
"12",0,13,8
"13",0,8,2
"14",0,16,8
"15",0,27,24
"16",0,1,4
"17",0,9,2
"18",0,1,6
"19",0,9,3
"20",0,1,7
"21",0,4,3
"22",0,25,3
"23",0,6,9
"24",0,3,8
"25",0,6,9
"26",0,5,16
"27",0,9,5
"28",0,19,4
"29",0,10,17
"30",0,1,7
"31",0,11,1
"32",0,19,13
"33",0,11,2
"34",0,5,9
"35",0,9,5
"36",0,1,1
"37",0,10,11
"38",0,6,10
"39",0,7,6
"40",0,1,4
"41",0,3,3
"42",0,1,1
"43",0,3,1
"44",0,2,2
"45",0,5,7
"46",0,16,2
"47",0,1,4
"48",0,9,12
"49",0,1,3
"50",0,3,1
"51",0,3,2
"52",0,16,6
"53",0,11,7
"54",0,2,2
"55",0,20,22
"56",0,16,3
"57",0,10,7
"58",0,17,2
"59",0,10,2
"60",0,14,2
"61",0,1,7
"62",0,10,6
"63",0,1,4
"64",0,7,4
"65",0,16,8
"66",0,9,3
"67",0,2,2
"68",0,12,8
"69",0,22,6
"70",0,3,4
"71",0,22,3
"72",0,3,3
"73",0,6,7
"74",0,17,11
"75",0,7,9
"76",0,5,1
"77",0,4,1
"78",0,3,2
"79",0,10,5
"80",0,5,6
"81",0,7,3
"82",0,10,3
"83",0,10,6
"84",0,17,15
"85",0,10,16
"86",0,9,7
"87",0,2,3
"88",0,2,1
"89",0,2,4
"90",0,7,3
"91",0,6,8
"92",0,2,2
"93",0,3,5
"94",0,24,13
"95",0,2,1
"96",0,12,12
"97",0,5,3
"98",0,5,3
"99",0,2,14
"100",0,1,2
"101",0,4,1
"102",0,8,1
"103",0,17,13
"104",0,11,19
"105",0,8,4
"106",0,32,4
"107",0,8,4
"108",0,10,4
"109",0,11,15
"110",0,4,4
"111",0,6,2
"112",0,10,4
"113",0,3,7
"114",0,2,8
"115",0,31,24
"116",0,18,2
"117",0,23,13
"118",0,9,7
"119",0,1,1
"120",0,11,21
"121",0,6,2
"122",0,17,3
"123",0,2,4
"124",0,28,11
"125",0,21,8
"126",0,4,8
"127",0,13,13
"128",0,3,2
"129",0,4,12
"130",0,5,7
"131",0,6,10
"132",0,3,6
"133",0,2,4
"134",0,23,10
"135",0,17,8
"136",0,13,9
"137",0,13,6
"138",0,5,2
"139",0,16,15
"140",0,2,1
"141",0,16,5
"142",0,6,14
"143",0,11,7
"144",0,1,5
"145",0,3,4
"146",0,2,6
"147",0,5,1
"148",0,14,9
"149",0,3,3
"150",0,3,7
"151",0,1,6
"152",0,3,2
"153",0,7,5
"154",0,7,3
"155",0,16,3
"156",0,1,7
"157",0,4,4
"158",0,11,5
"159",0,3,9
"160",0,13,6
"161",0,6,2
"162",0,4,5
"163",0,9,4
"164",0,16,15
"165",0,6,4
"166",0,4,4
"167",0,7,3
"168",0,1,1
"169",0,2,3
"170",0,9,12
"171",0,3,6
"172",0,5,8
"173",0,7,5
"174",0,4,9
"175",0,2,4
"176",0,11,9
"177",0,1,1
"178",0,17,1
"179",0,1,9
"180",0,14,3
"181",0,16,4
"182",0,9,10
"183",0,9,6
"184",0,17,3
"185",0,9,2
"186",0,3,2
"187",0,13,1
"188",0,5,4
"189",0,4,1
"190",0,22,10
"191",0,1,3
"192",0,5,2
"193",0,9,9
"194",0,12,6
"195",0,3,6
"196",0,6,12
"197",0,3,1
"198",0,10,2
"199",0,5,9
"200",0,9,8
