"","x","mean","lower","upper"
"gp0.p[, 1]1",0,-0.899071235495844,-1.38099243098718,-0.417150040004508
"gp0.p[, 1]2",0.0050251256281407,-0.907807416955822,-1.38410492444356,-0.431509909468084
"gp0.p[, 1]3",0.0100502512562814,-0.916446998417786,-1.3869705990616,-0.44592339777397
"gp0.p[, 1]4",0.0150753768844221,-0.924978019130224,-1.38957609699009,-0.460379941270358
"gp0.p[, 1]5",0.0201005025125628,-0.933388046044303,-1.39190774552953,-0.474868346559076
"gp0.p[, 1]6",0.0251256281407035,-0.941664166237643,-1.39395156272565,-0.489376769749632
"gp0.p[, 1]7",0.0301507537688442,-0.949792979854837,-1.39569326406365,-0.503892695646019
"gp0.p[, 1]8",0.0351758793969849,-0.957760593630106,-1.39711827033856,-0.518402916921649
"gp0.p[, 1]9",0.0402010050251256,-0.965552615062406,-1.39821171678103,-0.532893513343785
"gp0.p[, 1]10",0.0452261306532663,-0.973154147318396,-1.39895846352144,-0.547349831115351
"gp0.p[, 1]11",0.050251256281407,-0.980549784943778,-1.3993431074789,-0.561756462408651
"gp0.p[, 1]12",0.0552763819095477,-0.987723610469793,-1.3993499957661,-0.576097225173485
"gp0.p[, 1]13",0.0603015075376884,-0.99465919200706,-1.39896324070435,-0.59035514330977
"gp0.p[, 1]14",0.0653266331658292,-1.00133958192598,-1.39816673654802,-0.604512427303933
"gp0.p[, 1]15",0.0703517587939698,-1.00774731672917,-1.3969441780209,-0.618550455437442
"gp0.p[, 1]16",0.0753768844221106,-1.0138644182291,-1.39527908077188,-0.632449755686323
"gp0.p[, 1]17",0.0804020100502513,-1.01967239615134,-1.39315480386137,-0.646189988441304
"gp0.p[, 1]18",0.085427135678392,-1.02515225229198,-1.39055457439377,-0.659749930190192
"gp0.p[, 1]19",0.0904522613065327,-1.03028448636661,-1.38746151441626,-0.673107458316955
"gp0.p[, 1]20",0.0954773869346734,-1.03504910369671,-1.38385867020767,-0.68623953718575
"gp0.p[, 1]21",0.100502512562814,-1.03942562488946,-1.37972904408579,-0.699122205693127
"gp0.p[, 1]22",0.105527638190955,-1.04339309767653,-1.3750556288652,-0.711730566487861
"gp0.p[, 1]23",0.110552763819095,-1.04693011108853,-1.36982144510185,-0.724038777075215
"gp0.p[, 1]24",0.115577889447236,-1.05001481215271,-1.36400958126399,-0.736020043041429
"gp0.p[, 1]25",0.120603015075377,-1.05262492531367,-1.35760323697276,-0.747646613654584
"gp0.p[, 1]26",0.125628140703518,-1.05473777478923,-1.35058576945842,-0.758889780120036
"gp0.p[, 1]27",0.130653266331658,-1.05633031008712,-1.3429407433816,-0.769719876792641
"gp0.p[, 1]28",0.135678391959799,-1.05737913492188,-1.33465198417009,-0.780106285673681
"gp0.p[, 1]29",0.14070351758794,-1.05786053978659,-1.32570363502456,-0.790017444548619
"gp0.p[, 1]30",0.14572864321608,-1.05775053844915,-1.31608021774632,-0.799420859151984
"gp0.p[, 1]31",0.150753768844221,-1.05702490866,-1.30576669754126,-0.808283119778741
"gp0.p[, 1]32",0.155778894472362,-1.0556592373749,-1.29474855195269,-0.816569922797097
"gp0.p[, 1]33",0.160804020100503,-1.05362897081533,-1.28301184407424,-0.824246097556412
"gp0.p[, 1]34",0.165829145728643,-1.05090946970817,-1.27054330019049,-0.831275639225844
"gp0.p[, 1]35",0.170854271356784,-1.04747607006677,-1.25733039198873,-0.837621748144814
"gp0.p[, 1]36",0.175879396984925,-1.0433041498972,-1.24336142347885,-0.843246876315547
"gp0.p[, 1]37",0.180904522613065,-1.03836920223616,-1.22862562275106,-0.848112781721264
"gp0.p[, 1]38",0.185929648241206,-1.03264691495095,-1.21311323869113,-0.852180591210759
"gp0.p[, 1]39",0.190954773869347,-1.02611325775713,-1.19681564276265,-0.855410872751615
"gp0.p[, 1]40",0.195979899497487,-1.01874457693642,-1.17972543595322,-0.857763717919629
"gp0.p[, 1]41",0.201005025125628,-1.01051769826484,-1.1618365609692,-0.859198835560492
"gp0.p[, 1]42",0.206030150753769,-1.00141003869143,-1.14314441975263,-0.859675657630236
"gp0.p[, 1]43",0.21105527638191,-0.991399727338265,-1.12364599638626,-0.859153458290272
"gp0.p[, 1]44",0.21608040201005,-0.980465736425838,-1.103339985455,-0.857591487396674
"gp0.p[, 1]45",0.221105527638191,-0.968588022762169,-1.08222692595206,-0.854949119572273
"gp0.p[, 1]46",0.226130653266332,-0.955747680470294,-1.06030934087192,-0.851186020068669
"gp0.p[, 1]47",0.231155778894472,-0.941927105667411,-1.03759188275009,-0.846262328584732
"gp0.p[, 1]48",0.236180904522613,-0.927110173848788,-1.01408148564163,-0.840138862055946
"gp0.p[, 1]49",0.241206030150754,-0.911282430772509,-0.989787524477684,-0.832777337067335
"gp0.p[, 1]50",0.246231155778894,-0.894431297685333,-0.964721983589014,-0.824140611781651
"gp0.p[, 1]51",0.251256281407035,-0.876546291777254,-0.93889963781831,-0.814192945736198
"gp0.p[, 1]52",0.256281407035176,-0.857619262801633,-0.912338252846065,-0.802900272757202
"gp0.p[, 1]53",0.261306532663317,-0.837644646849861,-0.885058817857775,-0.790230475841947
"gp0.p[, 1]54",0.266331658291457,-0.816619738324343,-0.857085837503352,-0.776153639145334
"gp0.p[, 1]55",0.271356783919598,-0.794544981210985,-0.828447741286297,-0.760642221135672
"gp0.p[, 1]56",0.276381909547739,-0.771424280813069,-0.799177544404179,-0.743671017221958
"gp0.p[, 1]57",0.281407035175879,-0.747265337172175,-0.769314097215258,-0.725216577129092
"gp0.p[, 1]58",0.28643216080402,-0.722080001468428,-0.738904874886553,-0.705255128050303
"gp0.p[, 1]59",0.291457286432161,-0.695884656763313,-0.70801343346142,-0.683755880065207
"gp0.p[, 1]60",0.296482412060302,-0.668700624521777,-0.67674407804442,-0.660657170999135
"gp0.p[, 1]61",0.301507537688442,-0.640554598428669,-0.645346689728442,-0.635762507128895
"gp0.p[, 1]62",0.306532663316583,-0.611479107095949,-0.614637903543942,-0.608320310647956
"gp0.p[, 1]63",0.311557788944724,-0.581513000978654,-0.585392674544279,-0.577633327413028
"gp0.p[, 1]64",0.316582914572864,-0.550701806092833,-0.556093490419201,-0.545310121766466
"gp0.p[, 1]65",0.321608040201005,-0.519097691018495,-0.525795241965211,-0.512400140071779
"gp0.p[, 1]66",0.326633165829146,-0.486759301395753,-0.494335285599242,-0.479183317192264
"gp0.p[, 1]67",0.331658291457286,-0.453751620013255,-0.461741025024882,-0.445762215001628
"gp0.p[, 1]68",0.336683417085427,-0.420145857866006,-0.428100664013474,-0.412191051718539
"gp0.p[, 1]69",0.341708542713568,-0.386019375284721,-0.393534507202602,-0.37850424336684
"gp0.p[, 1]70",0.346733668341709,-0.351455632325426,-0.358187257501873,-0.344724007148978
"gp0.p[, 1]71",0.351758793969849,-0.316544167692646,-0.322227692072076,-0.310860643313215
"gp0.p[, 1]72",0.35678391959799,-0.281380605550497,-0.285856554723775,-0.276904656377219
"gp0.p[, 1]73",0.361809045226131,-0.246066689655952,-0.249337766139847,-0.242795613172057
"gp0.p[, 1]74",0.366834170854271,-0.210710344325209,-0.213099026659528,-0.20832166199089
"gp0.p[, 1]75",0.371859296482412,-0.175425704140792,-0.177759234956661,-0.173092173324922
"gp0.p[, 1]76",0.376884422110553,-0.140331717016578,-0.143376555942219,-0.137286878090936
"gp0.p[, 1]77",0.381909547738693,-0.105548193176183,-0.109507523107065,-0.101588863245301
"gp0.p[, 1]78",0.386934673366834,-0.0711934903475738,-0.0759530829854464,-0.0664338977097011
"gp0.p[, 1]79",0.391959798994975,-0.0373833677742884,-0.0426896278730555,-0.0320771076755213
"gp0.p[, 1]80",0.396984924623116,-0.00422987428479352,-0.0097591259926549,0.00129937742306786
"gp0.p[, 1]81",0.402010050251256,0.0281597823636645,0.0227617354126094,0.0335578293147196
"gp0.p[, 1]82",0.407035175879397,0.0596843902364861,0.0547626259683242,0.0646061545046479
"gp0.p[, 1]83",0.412060301507538,0.0902499175082229,0.0860749327736203,0.0944249022428256
"gp0.p[, 1]84",0.417085427135678,0.119770731809758,0.116381267972591,0.123160195646924
"gp0.p[, 1]85",0.422110552763819,0.148170860263209,0.145020196404888,0.151321524121529
"gp0.p[, 1]86",0.42713567839196,0.175385276226443,0.171316874577165,0.179453677875722
"gp0.p[, 1]87",0.4321608040201,0.201360725374953,0.195457352468244,0.207264098281663
"gp0.p[, 1]88",0.437185929648241,0.226055305787856,0.21783749600285,0.234273115572863
"gp0.p[, 1]89",0.442211055276382,0.24943758985225,0.238656416383565,0.260218763320935
"gp0.p[, 1]90",0.447236180904523,0.271485777847064,0.258020372631687,0.284951183062442
"gp0.p[, 1]91",0.452261306532663,0.292186899688233,0.276006849131036,0.308366950245429
"gp0.p[, 1]92",0.457286432160804,0.311536061735088,0.292685370519083,0.330386752951094
"gp0.p[, 1]93",0.462311557788945,0.329535735689822,0.308124084419479,0.350947386960166
"gp0.p[, 1]94",0.467336683417085,0.346195086746049,0.322391721439462,0.369998452052637
"gp0.p[, 1]95",0.472361809045226,0.361529338258857,0.335557918057054,0.38750075846066
"gp0.p[, 1]96",0.477386934673367,0.375559170317884,0.34769292023852,0.403425420397248
"gp0.p[, 1]97",0.482412060301508,0.388310149706539,0.358867050563586,0.417753248849493
"gp0.p[, 1]98",0.487437185929648,0.399812188825646,0.369150094266646,0.430474283384646
"gp0.p[, 1]99",0.492462311557789,0.410099031247925,0.378610670135124,0.441587392360725
"gp0.p[, 1]100",0.49748743718593,0.419207761651254,0.387315613867953,0.451099909434555
"gp0.p[, 1]101",0.50251256281407,0.427178337954536,0.395329383419349,0.459027292489723
"gp0.p[, 1]102",0.507537688442211,0.434053143548882,0.402713485749166,0.465392801348599
"gp0.p[, 1]103",0.512562814070352,0.439876557580586,0.409525916278854,0.470227198882318
"gp0.p[, 1]104",0.517587939698492,0.444694541299818,0.415820591426926,0.473568491172709
"gp0.p[, 1]105",0.522613065326633,0.448554238541033,0.421646733149844,0.475461743932223
"gp0.p[, 1]106",0.527638190954774,0.451503588447549,0.427048113125951,0.475959063769147
"gp0.p[, 1]107",0.532663316582915,0.453590948593922,0.432061923536444,0.475119973651401
"gp0.p[, 1]108",0.537688442211055,0.454864726695478,0.436716594068469,0.473012859322487
"gp0.p[, 1]109",0.542713567839196,0.455373019125058,0.441026147684242,0.469719890565874
"gp0.p[, 1]110",0.547738693467337,0.455163254482335,0.444969847122189,0.465356661842482
"gp0.p[, 1]111",0.552763819095477,0.454281840481947,0.448374533605631,0.460189147358262
"gp0.p[, 1]112",0.557788944723618,0.452773812441456,0.449612098878497,0.455935526004416
"gp0.p[, 1]113",0.562814070351759,0.450682485367005,0.444378236262776,0.456986734471234
"gp0.p[, 1]114",0.5678391959799,0.448049200610138,0.436493254328607,0.459605146891669
"gp0.p[, 1]115",0.57286432160804,0.444913314082007,0.427611477492338,0.462215150671676
"gp0.p[, 1]116",0.577889447236181,0.441312277461504,0.417998489578862,0.464626065344147
"gp0.p[, 1]117",0.582914572864322,0.43728171984176,0.407774531987129,0.466788907696392
"gp0.p[, 1]118",0.587939698492462,0.432855526225729,0.397028978989202,0.468682073462256
"gp0.p[, 1]119",0.592964824120603,0.428065912983631,0.385839968359598,0.470291857607664
"gp0.p[, 1]120",0.597989949748744,0.422943500381066,0.37427958314109,0.471607417621041
"gp0.p[, 1]121",0.603015075376884,0.417517382283131,0.362415616103518,0.472619148462743
"gp0.p[, 1]122",0.608040201005025,0.411815193136048,0.350312283759822,0.473318102512273
