"","x"
"1",0.494796381886891
"2",0.507046123484533
"3",0.514486524333551
"4",0.516703770906289
"5",0.513456337245928
"6",0.50467726094923
"7",0.490470278038007
"8",0.471100447086101
"9",0.446980037835849
"10",0.418650556461274
"11",0.386761831088025
"12",0.35204909124328
"13",0.315308948819068
"14",0.277375131855313
"15",0.239094742295384
"16",0.201305711161439
"17",0.164816015404714
"18",0.130385105601574
"19",0.0987078776584032
"20",0.0704014090030403
"21",0.0459945738490199
"22",0.0259205557102207
"23",0.0105121903502442
"24",0
"25",0.00548727943766042
"26",0.00591992231233995
"27",0.00136246536715356
"28",0.00803271392355842
"29",0.0220331849638509
"30",0.0403353096200074
"31",0.062573846071282
"32",0.0883320264410695
"33",0.11715184447478
"34",0.148544314443583
"35",0.181999490241426
"36",0.216996063136009
"37",0.253010386794092
"38",0.289524808131551
"39",0.326035211489142
"40",0.362057711000254
"41",0.397134451330034
"42",0.430838499887785
"43",0.462777833925184
"44",0.492598443514775
"45",0.519986586228151
"46",0.544670241449647
"47",0.56641982177804
"48",0.585048206043168
"49",0.600410163289695
"50",0.61240123987408
"51",0.620956182815792
"52",0.626046971978728
"53",0.627680531771535
"54",0.625896190077418
"55",0.620762948274751
"56",0.612376621694478
"57",0.600856904866556
"58",0.586344410604209
"59",0.568997726510602
"60",0.548990526996721
"61",0.526508773481366
"62",0.501748030194815
"63",0.474910918000229
"64",0.446204723937706
"65",0.415839179827147
"66",0.384024419266311
"67",0.350969118746484
"68",0.316878825387119
"69",0.281954470960636
"70",0.246391069430897
"71",0.2103765931489
"72",0.174091021118107
"73",0.137705551337327
"74",0.101381968126286
"75",0.0652721545119502
"76",0.0295177391754187
"77",0.00575013289747117
"78",0.0404109170799881
"79",0.0743546840930773
"80",0.107482044176062
"81",0.139703991022408
"82",0.170941675688826
"83",0.201126120230971
"84",0.230197880301713
"85",0.258106665384504
"86",0.284810924739283
"87",0.310277406524292
"88",0.334480696935127
"89",0.357402745581863
"90",0.379032382713962
"91",0.3993648333078
"92",0.418401232458067
"93",0.436148145966554
"94",0.452617099502971
"95",0.467824119224855
"96",0.481789286288885
"97",0.494536307264853
"98",0.506092102076439
"99",0.516486410739621
"100",0.525751419849307
"101",0.533921409476755
"102",0.54103242088321
"103",0.547121945227565
"104",0.552228633246092
"105",0.556392025708775
"106",0.559652304307588
"107",0.562050062505578
"108",0.563626095769887
"109",0.564421210525125
"110",0.564476051094144
"111",0.56383094383938
"112",0.562525757678142
"113",0.560599780117781
"114",0.558091607940332
"115",0.555039051659373
"116",0.551479052873556
"117",0.547447613650006
"118",0.542979737085779
"119",0.538109378215672
"120",0.532869404458999
"121",0.527291564825813
"122",0.521406467133514
"123",0.515243562517455
"124",0.508831136553204
"125",0.50219630634326
"126",0.495365022956656
"127",0.488362078645699
"128",0.481211118299752
"129",0.473934654631188
"130",0.466554086623153
"131",0.459089720802443
"132",0.451560794933411
"133",0.443985503760276
"134",0.436381026455366
"135",0.428763555459717
"136",0.421148326429882
"137",0.413549649030843
"138",0.405980938339564
"139",0.398454746646846
"140",0.39098279546695
"141",0.383576007584768
"142",0.376244538989347
"143",0.368997810560208
"144",0.361844539389286
"145",0.354792769636459
"146",0.347849902830605
"147",0.341022727540919
"148",0.334317448355011
"149",0.327739714111029
"150",0.32129464534081
"151",0.314986860889962
"152",0.308820503688767
"153",0.302799265655056
"154",0.296926411716644
"155",0.291204802946758
"156",0.285636918810993
"157",0.280224878528918
"158",0.274970461557456
"159",0.269875127206643
"160",0.264940033401443
"161",0.26016605460587
"162",0.255553798927924
"163",0.25110362442567
"164",0.246815654636395
"165",0.24268979335195
"166",0.23872573866444
"167",0.234922996307133
"168",0.231280892315994
"169",0.227798585037607
"170",0.224475076509407
"171",0.221309223238167
"172",0.218299746402569
"173",0.215445241505457
"174",0.212744187501044
"175",0.210194955421909
"176",0.207795816530133
"177",0.205544950016361
"178",0.203440450269945
"179",0.201480333742687
"180",0.199662545427981
"181",0.197984964976437
"182",0.196445412468316
"183",0.195041653862352
"184",0.193771406139758
"185",0.192632342161416
"186",0.191622095255523
"187",0.190738263552117
"188",0.189978414080214
"189",0.189340086642463
"190",0.188820797481525
"191",0.188418042751623
"192",0.188129301808007
"193",0.187952040326381
"194",0.187883713263639
"195",0.187921767670641
"196",0.188063645367082
"197",0.188306785487909
"198",0.188648626910166
"199",0.189086610568545
"200",0.189618181667401
