"","pre_value","pre_value.sd","ego","ego.sd"
"1",0.147571262,0.0073935266344167,0.147571262,0.0073935266344167
"2",0.1318497712,0.00819367234783991,0.12274363675,0.00842669911381258
"3",0.1166914926,0.00922710691682302,0.1011635982,0.00843070621112768
"4",0.1056433465,0.00885789320102666,0.08587377875,0.00863757002543349
"5",0.0883439226,0.00918739678309718,0.0693294946,0.00816753014116385
"6",0.07959666715,0.00900767457911365,0.06101299105,0.00791490910801653
"7",0.0729634939,0.0089195667652732,0.04642565545,0.00744714030426692
"8",0.0661353535,0.00829642340638011,0.03695408745,0.00688235450053316
"9",0.05856989025,0.00785753500407613,0.03021818425,0.00622065470337003
"10",0.05096347255,0.00771527705118383,0.0241087747,0.00564502028956287
"11",0.0460365202,0.00758760424370266,0.02045413195,0.00534961991686224
"12",0.0398769068,0.0072457180558837,0.01735079875,0.0046224333694053
"13",0.0355504847,0.00695181403608271,0.01338525505,0.0039622404945755
"14",0.03261039005,0.00672299891399882,0.0108045951,0.0036662771530798
"15",0.02776971395,0.00607471243969267,0.0087311549,0.00320245748190356
"16",0.02283393285,0.00558268839762958,0.0073274992,0.002924929115436
"17",0.01957026515,0.0051226989623536,0.005465946,0.00248534294452072
"18",0.01589011835,0.00457451251714342,0.00482132345,0.00234302348743796
"19",0.01378884595,0.00436019565945406,0.00426444085,0.0020968131971881
"20",0.0130649005,0.00421642066850171,0.0039874639,0.00203505992981002
"21",0.01113450645,0.00379794796843067,0.00342405575,0.00189805446067336
"22",0.00995328895,0.00357489366695663,0.00285119335,0.00174114473836596
"23",0.00903168945,0.00346485044792613,0.0022877852,0.00157089383524653
"24",0.00815335795,0.00315900692570909,0.0017338313,0.00138260716618284
"25",0.00534112475,0.00242858178349969,0.0011798774,0.00115909661308878
"26",0.00503578505,0.0023659361220951,0.00090290045,0.00102711190615685
"27",0.00448183115,0.00225854850033995,0.0008403851,0.000952088733104505
"28",0.0036479716,0.00193434423910145,0.00056340815,0.000783742284249903
"29",0.00337099465,0.00186543771928062,0.00056340815,0.000783742284249903
"30",0.00253060955,0.00162987702034912,0.00056340815,0.000783742284249903
"31",0.00197665565,0.00145108622402477,0.00056340815,0.000783742284249903
"32",0.0014132475,0.00123390329958437,0.00056340815,0.000783742284249903
"33",0.0014132475,0.00123390329958437,0.00056340815,0.000783742284249903
"34",0.00111736205,0.0010934787402232,0.00056340815,0.000783742284249903
"35",0.0008403851,0.000952088733104505,0.00056340815,0.000783742284249903
"36",0.0008403851,0.000952088733104505,0.00056340815,0.000783742284249903
"37",0.0008403851,0.000952088733104505,0.00056340815,0.000783742284249903
"38",0.00027697695,0.00054618650915939,0.00056340815,0.000783742284249903
"39",0.00027697695,0.00054618650915939,0.00056340815,0.000783742284249903
"40",0.00027697695,0.00054618650915939,0.00056340815,0.000783742284249903
"41",0.00027697695,0.00054618650915939,0.00056340815,0.000783742284249903
"42",0.00027697695,0.00054618650915939,0.00056340815,0.000783742284249903
"43",0,0,0.0005539539,0.000770481159800631
"44",0,0,0.00027697695,0.00054618650915939
"45",0,0,0.00027697695,0.00054618650915939
"46",0,0,0.00027697695,0.00054618650915939
"47",0,0,0.00027697695,0.00054618650915939
"48",0,0,0.00027697695,0.00054618650915939
"49",0,0,0,0
"50",0,0,0,0
